Date,Equity MarketValue,Equity Count,Bond MarketValue,Bond Count,Commodity MarketValue,Commodity Count,FX MarketValue,FX Count,Derivatives MarketValue,Derivatives Count
2022-03-01,70276185.50,24,17219812.84,3,9834245.39,3,0.00,0,28654.53,14
2022-03-02,76068682.80,23,21567756.06,4,10218948.18,3,0.00,0,23962.43,14
2022-03-03,75456894.04,23,21545822.10,4,10379402.50,3,0.00,0,25205.22,13
2022-03-04,74198893.64,23,21589497.26,4,10548406.28,3,0.00,0,25149.10,13
2022-03-07,71445558.15,26,29365335.85,4,14367878.17,4,0.00,0,-74174.80,16
2022-03-08,68655046.50,23,27379214.63,4,13760196.54,4,0.00,0,-67258.74,14
2022-03-09,71045050.29,23,27264639.94,4,13789842.03,4,0.00,0,-69301.02,14
2022-03-10,75335248.98,23,30366822.08,4,15150483.54,4,0.00,0,-71219.73,14
2022-03-11,74200997.69,23,30453074.64,4,15041574.11,4,0.00,0,-67490.29,14
2022-03-14,74642925.07,24,29097762.33,4,13137824.40,4,0.00,0,-191560.45,17
2022-03-15,68174144.01,24,26166139.84,4,11667709.50,3,0.00,0,-150132.77,14
2022-03-16,70333785.23,22,26132549.75,4,8444972.05,3,0.00,0,-136274.98,13
2022-03-17,65340008.41,22,25042739.15,4,6063658.23,3,0.00,0,-106186.69,13
2022-03-18,66238217.11,22,24995425.62,4,6061484.94,3,0.00,0,-88445.50,13
2022-03-21,66845350.99,24,26305317.42,4,6330456.50,3,0.00,0,-102986.42,17
2022-03-22,72831746.05,22,27759296.41,4,6672767.24,3,0.00,0,-110518.46,15
2022-03-23,72588467.61,22,29022109.17,4,6991645.01,3,0.00,0,-112709.63,15
2022-03-24,78641651.10,22,29807008.05,4,7123641.83,3,0.00,0,-115924.67,15
2022-03-25,78872282.27,22,30082959.48,4,7388616.50,3,0.00,0,-119353.14,15
2022-03-28,85998925.28,24,32184018.80,4,7137872.44,3,0.00,0,-48195.81,17
2022-03-29,91494230.11,22,30439449.79,4,7653794.54,3,0.00,0,-51137.01,15
2022-03-30,94114977.22,22,32020596.30,4,8148831.21,3,0.00,0,-52391.33,15
2022-03-31,97014495.71,22,33208718.17,4,8359456.08,3,0.00,0,-54881.21,15
2022-04-01,96643810.74,22,33025494.49,4,8338792.78,3,0.00,0,-54412.97,15
2022-04-04,98006285.13,23,33036353.09,4,8368784.60,3,0.00,0,28040.94,19
2022-04-05,94388113.75,21,32949397.44,4,8248808.69,3,0.00,0,27647.42,11
2022-04-06,83842279.10,21,29283323.53,4,7351925.12,3,0.00,0,23818.19,11
2022-04-07,80015123.64,20,27746988.07,4,7049421.80,3,0.00,0,22453.83,11
2022-04-08,79206528.10,20,27753275.99,4,7145621.99,3,0.00,0,22852.17,11
2022-04-11,77234036.78,21,27747403.34,4,6970546.60,3,0.00,0,22781.96,17
2022-04-12,76273241.98,20,26019395.38,4,6611289.72,3,0.00,0,21810.49,12
2022-04-13,77494184.43,20,26025166.66,4,6705630.46,3,0.00,0,22214.06,12
2022-04-14,76330922.82,20,26906340.28,4,6697735.63,3,0.00,0,23108.01,11
2022-04-15,76330922.82,20,26906340.28,4,6697735.63,3,0.00,0,23108.01,11
2022-04-18,72142687.10,22,25750582.29,4,8453062.37,3,0.00,0,21805.73,13
2022-04-19,73320115.90,20,24951039.33,4,8364152.83,3,0.00,0,23304.48,11
2022-04-20,75726585.25,20,26617730.62,4,9024868.18,3,0.00,0,25243.21,10
2022-04-21,74349761.75,20,26973503.05,4,8916983.63,3,0.00,0,26302.43,10
2022-04-22,66898922.66,20,19726112.90,4,7963795.32,3,0.00,0,19857.02,10
2022-04-25,59612269.68,22,12930857.06,4,5057941.20,3,0.00,0,4696.17,10
2022-04-26,61307979.81,20,12136939.19,3,5496455.69,2,0.00,0,5160.27,8
2022-04-27,61416078.58,20,11768347.93,2,3528833.14,2,0.00,0,4995.57,8
2022-04-28,63166411.08,20,11801102.46,2,3591273.47,2,0.00,0,4969.98,8
2022-04-29,55915303.84,20,10990215.38,2,3254335.70,2,0.00,0,4654.63,8
2022-05-02,47344565.21,21,8822641.87,2,2693529.00,2,0.00,0,13271.78,13
2022-05-03,47321920.54,20,8903422.34,2,2734832.12,2,0.00,0,12976.52,11
2022-05-04,48982645.27,20,9268860.75,2,2870526.60,2,0.00,0,14252.58,11
2022-05-05,47545521.38,20,9306398.00,2,2982103.32,2,0.00,0,14380.68,11
2022-05-06,40302481.23,21,6001807.36,2,2505934.86,2,0.00,0,11125.35,11
2022-05-09,36361618.90,20,5627323.52,1,3250512.60,2,0.00,0,3969.36,14
2022-05-10,31765119.89,18,4823949.95,1,2911000.99,2,0.00,0,3519.61,12
2022-05-11,31080580.84,18,2420936.88,1,2945173.82,2,0.00,0,3315.16,12
2022-05-12,30907863.16,18,2420936.88,1,2938771.73,2,0.00,0,3336.69,12
2022-05-13,34711668.39,18,0.00,1,3169306.65,2,0.00,0,3608.67,12
2022-05-16,34626167.17,18,0.00,0,3235228.04,2,0.00,0,13329.42,16
2022-05-17,37275990.38,18,0.00,0,3332786.86,2,0.00,0,13334.05,16
2022-05-18,35774441.76,18,0.00,0,3396461.73,2,0.00,0,14019.74,11
2022-05-19,32056745.45,18,0.00,0,2945293.35,2,0.00,0,12337.92,13
2022-05-20,32286152.54,18,0.00,0,2987273.96,2,0.00,0,12683.91,11
2022-05-23,34117078.11,22,0.00,0,3925934.98,2,0.00,0,3097.29,16
2022-05-24,33627773.46,17,0.00,0,3995560.27,2,0.00,0,3227.81,12
2022-05-25,35563517.15,17,0.00,0,4049378.85,2,0.00,0,8153.55,13
2022-05-26,37904032.43,17,0.00,0,4335336.24,2,0.00,0,10219.90,13
2022-05-27,39211176.55,17,0.00,0,4394507.13,2,0.00,0,10878.68,13
